timestamp;block_height;fee_per_vbyte
1231825046;290;0.0
1231825707;291;0.0
1231826633;292;0.0
1231827489;293;0.0
1231828541;294;0.0
1231829684;296;0.0
1231829772;297;0.0
1231830791;298;0.0
1231831694;299;0.0
1231832435;300;0.0
1231833175;301;0.0
1231833861;302;0.0
1231835108;303;0.0
1231835642;304;0.0
1231836755;305;0.0
1231837946;306;0.0
1231838493;307;0.0
1231839461;308;0.0
1231839504;309;0.0
1231840002;310;0.0
1231840140;311;0.0
1231841124;312;0.0
1231841699;313;0.0
1231842444;314;0.0
1231843597;315;0.0
1231844245;316;0.0
1231844715;317;0.0
1231845101;318;0.0
1231846048;319;0.0
1231846218;320;0.0
1231846990;321;0.0
1231847669;322;0.0
1231848372;323;0.0
1231849416;324;0.0
1231849987;325;0.0
1231850712;326;0.0
1231851531;327;0.0
1231851944;328;0.0
1231852306;329;0.0
1231853108;330;0.0
1231854172;331;0.0
1231854604;332;0.0
1231855081;333;0.0
1231855781;334;0.0
1231856031;335;0.0
1231856644;336;0.0
1231857108;337;0.0
1231857528;338;0.0
1231857859;339;0.0
1231858635;340;0.0
1231859159;341;0.0
1231860068;342;0.0
1231860987;343;0.0
1231861522;344;0.0
1231861893;345;0.0
1231862299;346;0.0
1231863290;347;0.0
1231864090;348;0.0
1231864857;349;0.0
1231865478;350;0.0
1231866358;351;0.0
1231866858;352;0.0
1231867963;353;0.0
1231868549;354;0.0
1231869577;355;0.0
1231870655;356;0.0
1231870808;357;0.0
1231871671;358;0.0
1231872516;359;0.0
1231872582;360;0.0
1231873025;361;0.0
1231873610;362;0.0
1231874201;363;0.0
1231875152;364;0.0
1231875837;365;0.0
1231876609;366;0.0
1231877248;367;0.0
1231878378;368;0.0
1231879535;369;0.0
1231879977;370;0.0
1231880431;371;0.0
1231880620;372;0.0
1231880887;373;0.0
1231881668;374;0.0
1231882823;375;0.0
1231883994;376;0.0
1231884950;377;0.0
1231885847;378;0.0
1231886424;379;0.0
1231886972;380;0.0
1231887806;381;0.0
1231888319;382;0.0
1231889357;383;0.0
1231890178;384;0.0
1231890970;385;0.0
1231891966;386;0.0
1231892936;387;0.0
1231893644;388;0.0
1231894426;389;0.0
1231895654;390;0.0
1231896614;391;0.0
1231897053;392;0.0
1231897603;393;0.0
1231897970;394;0.0
1231898331;395;0.0
1231898751;396;0.0
